Token	POS-Tag	OOV	Id	Index	Documento
O	DET	0	1	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
Brasil	PROPN	0	1	1	O Brasil venceu o jogo de futebol com grande atuação coletiva .
venceu	VERB	0	1	2	O Brasil venceu o jogo de futebol com grande atuação coletiva .
o	DET	0	1	3	O Brasil venceu o jogo de futebol com grande atuação coletiva .
jogo	NOUN	0	1	4	O Brasil venceu o jogo de futebol com grande atuação coletiva .
de	ADP	0	1	5	O Brasil venceu o jogo de futebol com grande atuação coletiva .
futebol	NOUN	0	1	6	O Brasil venceu o jogo de futebol com grande atuação coletiva .
com	ADP	0	1	7	O Brasil venceu o jogo de futebol com grande atuação coletiva .
grande	ADJ	0	1	8	O Brasil venceu o jogo de futebol com grande atuação coletiva .
atuação	NOUN	0	1	9	O Brasil venceu o jogo de futebol com grande atuação coletiva .
coletiva	ADJ	0	1	10	O Brasil venceu o jogo de futebol com grande atuação coletiva .
.	PUNCT	0	1	11	O Brasil venceu o jogo de futebol com grande atuação coletiva .
A	DET	0	2	0	A inteligência artificial está transformando o mercado de trabalho .
inteligência	NOUN	0	2	1	A inteligência artificial está transformando o mercado de trabalho .
artificial	ADJ	0	2	2	A inteligência artificial está transformando o mercado de trabalho .
está	AUX	0	2	3	A inteligência artificial está transformando o mercado de trabalho .
transformando	VERB	0	2	4	A inteligência artificial está transformando o mercado de trabalho .
o	DET	0	2	5	A inteligência artificial está transformando o mercado de trabalho .
mercado	NOUN	0	2	6	A inteligência artificial está transformando o mercado de trabalho .
de	ADP	0	2	7	A inteligência artificial está transformando o mercado de trabalho .
trabalho	NOUN	0	2	8	A inteligência artificial está transformando o mercado de trabalho .
.	PUNCT	0	2	9	A inteligência artificial está transformando o mercado de trabalho .
O	DET	0	3	0	O governo anunciou novas medidas econômicas para o próximo ano .
governo	NOUN	0	3	1	O governo anunciou novas medidas econômicas para o próximo ano .
anunciou	VERB	0	3	2	O governo anunciou novas medidas econômicas para o próximo ano .
novas	ADJ	0	3	3	O governo anunciou novas medidas econômicas para o próximo ano .
medidas	NOUN	0	3	4	O governo anunciou novas medidas econômicas para o próximo ano .
econômicas	ADJ	0	3	5	O governo anunciou novas medidas econômicas para o próximo ano .
para	ADP	0	3	6	O governo anunciou novas medidas econômicas para o próximo ano .
o	DET	0	3	7	O governo anunciou novas medidas econômicas para o próximo ano .
próximo	ADJ	0	3	8	O governo anunciou novas medidas econômicas para o próximo ano .
ano	NOUN	0	3	9	O governo anunciou novas medidas econômicas para o próximo ano .
.	PUNCT	0	3	10	O governo anunciou novas medidas econômicas para o próximo ano .
Startups	PROPN	1	4	0	Startups brasileiras estão crescendo no setor de tecnologia .
brasileiras	ADJ	0	4	1	Startups brasileiras estão crescendo no setor de tecnologia .
estão	AUX	0	4	2	Startups brasileiras estão crescendo no setor de tecnologia .
crescendo	VERB	0	4	3	Startups brasileiras estão crescendo no setor de tecnologia .
no	ADP	0	4	4	Startups brasileiras estão crescendo no setor de tecnologia .
setor	NOUN	0	4	5	Startups brasileiras estão crescendo no setor de tecnologia .
de	ADP	0	4	6	Startups brasileiras estão crescendo no setor de tecnologia .
tecnologia	NOUN	0	4	7	Startups brasileiras estão crescendo no setor de tecnologia .
.	PUNCT	0	4	8	Startups brasileiras estão crescendo no setor de tecnologia .
O	DET	0	5	0	O time conquistou o campeonato após uma partida emocionante .
time	NOUN	0	5	1	O time conquistou o campeonato após uma partida emocionante .
conquistou	VERB	0	5	2	O time conquistou o campeonato após uma partida emocionante .
o	DET	0	5	3	O time conquistou o campeonato após uma partida emocionante .
campeonato	NOUN	0	5	4	O time conquistou o campeonato após uma partida emocionante .
após	ADP	0	5	5	O time conquistou o campeonato após uma partida emocionante .
uma	DET	0	5	6	O time conquistou o campeonato após uma partida emocionante .
partida	NOUN	0	5	7	O time conquistou o campeonato após uma partida emocionante .
emocionante	ADJ	1	5	8	O time conquistou o campeonato após uma partida emocionante .
.	PUNCT	0	5	9	O time conquistou o campeonato após uma partida emocionante .
Pesquisadores	NOUN	1	6	0	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
desenvolveram	VERB	0	6	1	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
um	DET	0	6	2	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
novo	ADJ	0	6	3	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
modelo	NOUN	0	6	4	Pesquisadores desenvolveram um novo modelo de linguagem avançado .
