id;sentencas;documento
1;['O Brasil venceu o jogo de futebol com grande atuação coletiva.'];O Brasil venceu o jogo de futebol com grande atuação coletiva.
2;['A inteligência artificial está transformando o mercado de trabalho.'];A inteligência artificial está transformando o mercado de trabalho.
3;['O governo anunciou novas medidas econômicas para o próximo ano.'];O governo anunciou novas medidas econômicas para o próximo ano.
4;['Startups brasileiras estão crescendo no setor de tecnologia.'];Startups brasileiras estão crescendo no setor de tecnologia.
5;['O time conquistou o campeonato após uma partida emocionante.'];O time conquistou o campeonato após uma partida emocionante.
6;['Pesquisadores desenvolveram um novo modelo de linguagem avançado.'];Pesquisadores desenvolveram um novo modelo de linguagem avançado.
7;['A cidade de São Paulo enfrenta problemas de mobilidade urbana.'];A cidade de São Paulo enfrenta problemas de mobilidade urbana.
8;['O aplicativo facilita o agendamento de consultas médicas.'];O aplicativo facilita o agendamento de consultas médicas.
9;['Estudos mostram aumento no uso de energia renovável no país.'];Estudos mostram aumento no uso de energia renovável no país.
10;['A bolsa de valores teve alta significativa nesta semana.'];A bolsa de valores teve alta significativa nesta semana.
11;['O presidente discursou sobre educação e inovação tecnológica.'];O presidente discursou sobre educação e inovação tecnológica.
12;['Novos avanços em IA estão mudando a indústria global.'];Novos avanços em IA estão mudando a indústria global.
13;['A vacinação contribuiu para a redução de doenças no Brasil.'];A vacinação contribuiu para a redução de doenças no Brasil.
14;['O filme brasileiro ganhou prêmio internacional importante.'];O filme brasileiro ganhou prêmio internacional importante.
15;['A economia mundial passa por período de instabilidade.'];A economia mundial passa por período de instabilidade.
16;['Jogadores de futebol foram convocados para a seleção nacional.'];Jogadores de futebol foram convocados para a seleção nacional.
17;['O sistema de transporte público será modernizado.'];O sistema de transporte público será modernizado.
18;['Uma nova lei de proteção de dados entrou em vigor.'];Uma nova lei de proteção de dados entrou em vigor.
19;['Universidades investem em pesquisa e desenvolvimento científico.'];Universidades investem em pesquisa e desenvolvimento científico.
20;['O comércio eletrônico cresceu durante o último ano.'];O comércio eletrônico cresceu durante o último ano.
21;['Turistas visitaram praias famosas do litoral catarinense.'];Turistas visitaram praias famosas do litoral catarinense.
22;['O evento de tecnologia reuniu especialistas do mundo inteiro.'];O evento de tecnologia reuniu especialistas do mundo inteiro.
23;['Aplicações de machine learning estão cada vez mais comuns.'];Aplicações de machine learning estão cada vez mais comuns.
24;['O clima mudou drasticamente em diversas regiões do país.'];O clima mudou drasticamente em diversas regiões do país.
25;['Empresas adotam soluções digitais para aumentar produtividade.'];Empresas adotam soluções digitais para aumentar produtividade.
26;['A ciência de dados é essencial para análise de informações.'];A ciência de dados é essencial para análise de informações.
27;['O hospital inaugurou uma nova unidade de atendimento.'];O hospital inaugurou uma nova unidade de atendimento.
28;['O agronegócio brasileiro bateu recordes de exportação.'];O agronegócio brasileiro bateu recordes de exportação.
29;['Redes neurais são usadas em sistemas de reconhecimento de imagem.'];Redes neurais são usadas em sistemas de reconhecimento de imagem.
30;['O futebol brasileiro possui grande destaque internacional.'];O futebol brasileiro possui grande destaque internacional.
